r,s,ls,ld,lh,y,RateOfNetStorageActivity
RE1,STG_1,1,1,1,2022,36.7019
RE1,STG_1,1,1,1,2023,21.3333
RE1,STG_1,1,1,1,2024,54.9744
RE1,STG_1,1,1,1,2025,34.6523
RE1,STG_1,1,1,1,2026,51.1818
RE1,STG_1,1,1,1,2027,57.6279
RE1,STG_1,1,1,1,2028,64.4137
RE1,STG_1,1,1,1,2029,70.3788
RE1,STG_1,1,1,1,2030,74.4097
RE1,STG_1,1,1,1,2031,77.4776
RE1,STG_1,1,1,1,2032,77.4776
RE1,STG_1,1,1,1,2033,35.2757
RE1,STG_1,1,1,1,2034,34.5247
RE1,STG_1,1,1,1,2035,34.3904
RE1,STG_1,1,1,2,2023,49.9391
RE1,STG_1,1,1,2,2025,52.6724
RE1,STG_1,1,1,2,2026,44.7897
RE1,STG_1,1,1,2,2027,45.3436
RE1,STG_1,1,1,2,2028,45.9274
RE1,STG_1,1,1,2,2029,46.5623
RE1,STG_1,1,1,2,2030,47.2291
RE1,STG_1,1,1,2,2031,27.9191
RE1,STG_1,1,1,2,2032,7.2868
RE1,STG_1,1,1,2,2033,-19.7787
RE1,STG_1,1,1,2,2034,-23.5634
RE1,STG_1,1,1,2,2035,-26.9043
RE1,STG_1,2,1,1,2022,-12.3318
RE1,STG_1,2,1,1,2023,-18.8227
RE1,STG_1,2,1,1,2024,-24.6852
RE1,STG_1,2,1,1,2025,-28.7512
RE1,STG_1,2,1,1,2026,-37.2616
RE1,STG_1,2,1,1,2027,-41.8069
RE1,STG_1,2,1,1,2028,-46.5919
RE1,STG_1,2,1,1,2029,-51.8485
RE1,STG_1,2,1,1,2030,-57.3459
RE1,STG_1,2,1,1,2031,-58.2004
RE1,STG_1,2,1,1,2032,-54.7342
RE1,STG_1,2,1,1,2033,-32.7424
RE1,STG_1,2,1,1,2034,-28.9054
RE1,STG_1,2,1,1,2035,-26.2538
RE1,STG_1,2,1,2,2022,-50.0
RE1,STG_1,2,1,2,2023,-56.5299
RE1,STG_1,2,1,2,2024,-62.4277
RE1,STG_1,2,1,2,2025,-66.5181
RE1,STG_1,2,1,2,2026,-75.0797
RE1,STG_1,2,1,2,2027,-79.6523
RE1,STG_1,2,1,2,2028,-84.4661
RE1,STG_1,2,1,2,2029,-86.7144
RE1,STG_1,2,1,2,2030,-84.5738
RE1,STG_1,2,1,2,2031,-69.4456
RE1,STG_1,2,1,2,2032,-55.3916
RE1,STG_1,2,1,2,2033,13.9874
RE1,STG_1,2,1,2,2034,11.6729
RE1,STG_1,2,1,2,2035,10.0288
