r,t,TotalTechnologyModelPeriodActivity
RE1,MINGAS,3749.1082
RE1,PWRGAS,1874.5541
RE1,PWRTRN,5327.0646
RE1,RSCLND,4799.7
RE1,LNDMAIRNF,22.55
RE1,LNDRICRNF,7.7923
RE1,LNDMAIIRR,50.1034
RE1,LNDRICIRR,20.378
RE1,LNDFOR,3982.3278
RE1,LNDBLT,258.9
RE1,LNDWAT,402.4197
RE1,RSCPRC,5693.3654
RE1,RSCHYD,1543.8333
RE1,RSCSOL,111.2388
RE1,RSCWND,2912.1688
RE1,PWRHYD,540.3416
RE1,PWRSOL,111.2388
RE1,PWRWND,2912.1688
RE1,DEMAGRDSL,43.4565
RE1,DEMAGRSURWAT,33.007
RE1,DEMAGRGWTWAT,1.5661
RE1,DEMPWRSURWAT,0.5155
RE1,DEMPUBSURWAT,24.4158
RE1,DEMPUBGWTWAT,8.2715
RE1,DEMTRABIO,23.7796
RE1,PWRBATIN,311.1966
RE1,PWRBATOUT,311.1966
